Date,Draw,"Winning Numbers"
"January 23, 2023",2106726,"70 35 49 54 31 65 42 17 20 43 16 50 29 25 11 63 37 19 68 64 03"
"January 23, 2023",2106725,"50 74 38 30 58 56 13 57 77 44 52 70 22 66 54 75 16 67 01 28 02"
"January 23, 2023",2106724,"78 43 26 42 29 18 37 32 53 23 69 46 52 41 74 28 07 24 36 19 02"
"January 23, 2023",2106723,"79 48 52 58 42 54 44 78 14 20 70 39 73 10 13 77 69 18 33 26 04"
"January 23, 2023",2106722,"18 74 69 29 42 65 06 48 70 50 58 72 71 47 44 07 79 21 67 55 05"
"January 23, 2023",2106721,"10 35 18 20 43 28 59 08 61 54 06 70 77 45 51 71 52 33 55 17 02"
"January 23, 2023",2106720,"08 45 53 65 55 64 25 33 07 70 27 47 41 26 09 56 10 35 50 63 03"
"January 23, 2023",2106719,"46 66 19 16 32 39 36 24 23 49 43 72 14 60 62 30 18 13 44 55 02"
"January 23, 2023",2106718,"60 48 31 12 21 13 23 62 41 19 44 08 33 78 70 45 71 46 15 02 02"
"January 23, 2023",2106717,"13 72 48 69 10 65 21 31 22 12 05 19 39 18 29 50 42 61 73 32 02"
"January 23, 2023",2106716,"24 09 06 70 60 72 43 34 22 10 23 78 36 38 66 58 77 67 74 63 04"
"January 23, 2023",2106715,"05 14 64 66 31 48 29 54 30 56 63 20 12 67 55 53 47 33 04 23 02"
"January 23, 2023",2106714,"44 50 52 11 30 08 39 27 23 68 03 02 10 45 37 12 33 06 47 16 01"
"January 23, 2023",2106713,"54 44 60 09 68 02 26 16 72 31 13 70 78 50 28 46 20 33 27 05 02"
"January 23, 2023",2106712,"51 36 07 56 06 14 03 63 04 80 16 64 31 20 09 02 32 40 72 39 02"
"January 23, 2023",2106711,"33 26 71 77 24 56 67 08 68 57 23 75 40 04 18 63 12 20 73 28 02"
"January 23, 2023",2106710,"42 66 05 13 18 32 47 69 09 21 04 61 76 70 14 55 43 19 31 15 01"
"January 23, 2023",2106709,"77 02 51 43 42 52 69 78 58 05 31 01 64 80 35 67 60 54 34 63 01"
"January 23, 2023",2106708,"20 53 26 56 33 77 43 11 38 75 29 79 42 58 24 51 47 25 35 03 01"
"January 23, 2023",2106707,"09 14 20 59 15 22 54 46 48 78 08 02 33 06 31 58 12 50 07 03 01"
"January 23, 2023",2106706,"58 09 04 63 72 55 75 13 05 36 29 69 77 40 03 41 45 67 20 23 01"
"January 23, 2023",2106705,"58 72 51 74 71 67 16 43 79 19 15 02 64 78 65 80 56 57 34 08 04"
"January 23, 2023",2106704,"47 73 56 05 72 52 62 23 70 03 18 38 11 25 40 48 37 24 07 16 01"
"January 23, 2023",2106703,"46 24 04 76 48 39 28 01 43 75 23 47 31 25 61 12 30 16 56 07 02"
"January 23, 2023",2106702,"34 46 77 72 20 19 67 47 63 56 70 16 79 22 18 68 39 74 33 59 02"
"January 23, 2023",2106701,"20 06 76 14 69 19 22 11 54 75 16 24 41 37 52 26 73 80 68 42 01"
"January 23, 2023",2106700,"29 54 78 45 22 51 24 76 30 68 08 71 62 53 44 31 66 55 17 49 02"
"January 23, 2023",2106699,"35 57 39 71 15 56 55 22 11 40 60 41 64 13 24 79 65 74 78 09 02"
"January 23, 2023",2106698,"75 13 55 37 28 52 70 03 06 43 01 44 58 35 32 66 16 53 68 40 01"
"January 23, 2023",2106697,"04 63 71 57 06 69 52 18 72 02 36 29 30 13 23 20 74 10 21 51 01"
"January 23, 2023",2106696,"57 76 79 11 63 40 71 51 48 55 02 06 67 27 17 20 14 07 36 38 01"
"January 23, 2023",2106695,"08 60 29 79 22 16 70 23 68 41 04 32 76 54 53 09 24 33 73 64 01"
"January 23, 2023",2106694,"08 24 07 25 31 66 19 32 50 65 68 14 23 28 41 45 62 29 38 12 03"
"January 23, 2023",2106693,"33 80 17 60 27 73 03 77 34 50 09 32 75 37 69 43 79 45 54 16 02"
"January 23, 2023",2106692,"67 78 66 02 27 64 28 65 71 63 05 39 46 12 09 80 44 61 51 31 01"
"January 23, 2023",2106691,"45 20 33 14 48 27 58 61 30 68 77 54 41 51 71 79 42 70 17 43 01"
"January 23, 2023",2106690,"24 43 41 71 55 67 09 07 51 57 26 79 40 08 22 05 06 01 75 74 01"
"January 23, 2023",2106689,"07 73 12 63 51 42 41 05 26 60 11 77 54 22 44 57 75 13 06 08 01"
"January 23, 2023",2106688,"67 80 63 57 73 50 53 10 28 69 52 72 24 61 29 51 62 14 36 25 02"
"January 23, 2023",2106687,"77 26 04 69 03 53 40 09 39 28 47 01 79 71 73 60 80 55 22 63 01"
"January 23, 2023",2106686,"05 56 62 09 78 13 06 35 52 53 12 44 22 60 33 79 50 48 26 27 02"
"January 23, 2023",2106685,"54 80 13 76 64 44 19 49 35 11 21 39 58 69 73 46 28 38 63 50 02"
"January 23, 2023",2106684,"32 40 47 65 56 44 02 64 25 04 41 33 34 24 42 19 73 11 74 21 01"
"January 23, 2023",2106683,"72 06 53 66 36 21 41 67 14 18 76 79 39 65 17 77 28 55 47 11 01"
"January 23, 2023",2106682,"57 37 70 28 61 24 32 40 13 42 47 52 39 35 15 60 34 31 58 14 02"
"January 23, 2023",2106681,"36 48 79 38 21 01 47 06 03 22 44 32 68 24 62 70 05 29 11 69 02"
"January 23, 2023",2106680,"11 01 20 29 56 76 72 50 17 62 43 31 42 07 68 59 57 63 24 51 01"
"January 23, 2023",2106679,"64 73 60 41 48 72 14 07 44 51 57 01 15 56 02 13 45 09 37 30 01"
"January 23, 2023",2106678,"45 25 75 15 17 64 69 22 49 46 73 40 16 33 04 53 65 23 74 68 02"
"January 23, 2023",2106677,"60 03 56 62 35 45 39 10 07 28 75 78 50 06 46 04 23 47 61 19 02"
"January 23, 2023",2106676,"26 18 41 47 28 17 61 80 15 57 60 31 44 48 76 14 22 50 10 63 02"
"January 23, 2023",2106675,"49 73 29 60 39 31 05 30 33 06 04 66 57 03 46 11 64 65 68 80 01"
"January 23, 2023",2106674,"58 19 44 61 26 22 68 36 16 65 11 73 76 50 20 62 07 06 79 51 04"
"January 23, 2023",2106673,"03 20 31 26 43 76 38 08 48 42 37 13 21 69 14 70 80 05 68 35 01"
"January 23, 2023",2106672,"61 17 63 57 78 04 39 11 58 42 46 25 32 27 22 29 37 68 76 77 02"
"January 23, 2023",2106671,"01 07 56 12 61 59 32 31 28 65 53 44 76 63 39 36 24 67 69 72 01"
"January 23, 2023",2106670,"73 03 53 48 22 35 75 27 12 34 11 14 43 05 44 10 55 74 54 25 03"
"January 23, 2023",2106669,"18 31 73 14 50 02 12 29 16 33 78 57 68 74 46 69 04 56 71 72 02"
"January 23, 2023",2106668,"79 09 67 57 47 59 19 40 17 70 21 06 50 72 35 11 39 23 69 64 03"
"January 23, 2023",2106667,"13 27 44 57 32 18 45 23 78 53 08 49 58 36 16 24 35 02 79 01 02"
"January 23, 2023",2106666,"68 37 34 11 35 44 41 29 49 72 50 16 52 03 56 43 05 51 01 24 02"
"January 23, 2023",2106665,"29 30 17 63 52 27 28 21 12 32 15 73 03 72 66 18 34 64 02 67 05"
"January 23, 2023",2106664,"52 66 17 54 07 37 65 60 53 57 09 16 63 04 05 51 49 35 79 02 02"
"January 23, 2023",2106663,"64 25 37 01 61 38 06 36 54 68 45 29 32 44 14 33 47 40 22 08 02"
"January 23, 2023",2106662,"54 07 63 66 42 23 59 29 45 32 71 68 73 48 61 24 41 11 38 55 02"
