Draw Date,Draw Number,Draw Time,Winning Numbers,Extra
01/22/2023,2542741,06:40,01 03 13 14 15 17 18 21 23 31 35 37 40 51 52 53 56 57 61 79,01
01/22/2023,2542742,06:44,02 08 10 17 20 26 39 42 48 50 58 59 63 64 68 69 70 71 74 76,02
01/22/2023,2542743,06:48,02 04 06 11 14 20 21 34 42 43 51 54 56 57 59 62 64 74 78 80,04
01/22/2023,2542744,06:52,02 06 10 11 12 18 19 20 21 26 28 33 39 48 49 51 54 58 62 67,01
01/22/2023,2542745,06:56,03 08 13 19 28 32 35 38 41 43 46 47 57 61 63 65 69 74 75 80,01
01/22/2023,2542746,07:00,01 07 13 18 20 21 23 31 32 34 35 38 39 42 53 58 61 67 70 77,02
01/22/2023,2542747,07:04,01 12 20 21 22 24 26 32 35 38 47 49 50 54 57 63 64 65 77 79,02
01/22/2023,2542748,07:08,05 06 10 11 13 14 15 18 20 26 30 31 43 46 53 60 67 69 71 74,01
01/22/2023,2542749,07:12,02 03 06 09 10 15 16 21 25 32 44 54 58 59 62 63 64 66 75 77,01
01/22/2023,2542750,07:16,12 17 24 28 29 30 35 38 41 45 48 50 52 55 60 61 65 66 67 75,05
01/22/2023,2542751,07:20,01 06 11 12 16 17 21 23 25 28 29 37 40 44 49 53 65 72 75 80,02
01/22/2023,2542752,07:24,08 10 19 25 26 36 38 39 41 43 44 47 50 54 63 66 69 72 75 76,04
01/22/2023,2542753,07:28,01 07 09 10 17 21 26 28 29 32 35 38 49 52 56 61 65 67 68 69,02
01/22/2023,2542754,07:32,11 15 16 19 22 23 29 34 36 42 54 56 62 68 69 72 73 77 78 79,02
01/22/2023,2542755,07:36,04 06 10 15 16 19 20 24 25 30 31 36 37 41 43 58 59 69 70 78,05
01/22/2023,2542756,07:40,02 05 19 20 21 23 24 26 29 35 38 43 45 49 53 56 61 66 77 78,01
01/22/2023,2542757,07:44,07 10 15 16 21 27 32 38 41 42 45 48 51 52 56 60 65 73 74 80,01
01/22/2023,2542758,07:48,01 04 06 08 15 16 24 25 26 28 33 35 38 39 41 49 60 62 65 79,02
01/22/2023,2542759,07:52,01 02 07 12 14 15 30 32 34 37 42 44 50 51 55 56 57 67 77 78,02
01/22/2023,2542760,07:56,03 04 08 12 18 23 33 38 41 44 52 56 62 63 64 66 72 75 78 79,01
01/22/2023,2542761,08:00,01 11 14 17 20 25 30 31 32 38 39 40 47 50 53 57 58 62 66 70,05
01/22/2023,2542762,08:04,05 13 19 22 26 35 36 42 45 49 51 58 59 64 68 69 70 76 77 80,02
01/22/2023,2542763,08:08,03 10 21 22 27 29 30 37 42 43 48 54 55 66 69 71 76 77 79 80,02
01/22/2023,2542764,08:12,01 08 10 12 13 14 17 28 29 30 31 33 39 40 43 47 52 57 67 78,01
01/22/2023,2542765,08:16,03 08 14 15 20 26 27 28 31 33 36 43 44 54 56 57 58 60 61 72,02
01/22/2023,2542766,08:20,02 05 10 18 23 28 30 31 35 38 42 51 52 54 58 59 62 71 72 73,05
01/22/2023,2542767,08:24,04 09 10 13 17 19 28 29 35 39 42 49 58 61 62 64 72 74 75 80,01
01/22/2023,2542768,08:28,09 12 21 23 25 26 27 33 34 37 44 48 50 51 54 58 65 75 78 79,05
01/22/2023,2542769,08:32,01 04 06 08 10 12 18 26 40 42 43 44 45 49 56 57 58 67 74 76,02
01/22/2023,2542770,08:36,01 03 04 13 18 22 24 26 27 30 33 37 45 46 49 51 52 65 74 79,01
01/22/2023,2542771,08:40,11 12 14 15 21 24 26 36 39 40 42 49 56 65 69 71 73 75 76 80,02
01/22/2023,2542772,08:44,02 04 06 09 12 14 15 22 26 27 32 37 39 46 48 56 57 64 65 70,04
01/22/2023,2542773,08:48,02 13 14 15 17 23 33 34 35 41 44 46 56 59 61 63 67 69 77 80,01
01/22/2023,2542774,08:52,03 09 10 18 21 29 30 36 38 40 42 44 49 52 55 56 64 71 74 79,03
01/22/2023,2542775,08:56,02 06 08 10 15 21 23 26 29 31 38 42 45 46 53 66 71 74 77 78,01
01/22/2023,2542776,09:00,02 04 08 09 12 21 24 30 35 36 42 46 51 56 61 66 67 68 70 73,01
01/22/2023,2542777,09:04,03 04 09 10 14 15 17 27 28 31 32 37 42 45 48 50 60 71 77 78,01
01/22/2023,2542778,09:08,01 06 09 10 11 17 18 23 27 28 34 36 43 45 47 51 59 60 68 73,01
01/22/2023,2542779,09:12,03 04 09 13 15 17 19 24 36 37 39 48 52 53 55 58 63 66 70 72,02
01/22/2023,2542780,09:16,02 05 06 08 13 14 18 19 26 32 36 40 44 50 54 56 68 69 71 76,04
01/22/2023,2542781,09:20,03 08 15 17 18 23 24 26 36 47 48 49 55 60 62 63 67 68 70 80,02
01/22/2023,2542782,09:24,04 07 08 11 16 22 24 30 39 42 48 50 52 53 55 65 71 73 75 80,01
01/22/2023,2542783,09:28,01 14 16 20 21 29 31 33 36 40 42 43 47 54 57 60 61 62 70 77,02
01/22/2023,2542784,09:32,02 05 06 09 15 19 20 24 25 28 33 35 44 48 49 52 53 66 70 80,01
01/22/2023,2542785,09:36,04 05 09 15 17 19 22 28 29 36 41 44 45 48 50 57 61 63 77 79,01
01/22/2023,2542786,09:40,05 07 10 12 18 22 29 33 35 40 41 43 44 48 59 63 66 71 74 75,02
01/22/2023,2542787,09:44,01 10 12 20 27 28 31 33 35 36 40 41 43 45 48 50 56 64 76 77,01
01/22/2023,2542788,09:48,03 09 14 15 16 18 24 25 26 33 34 36 37 38 41 43 58 64 66 77,01
01/22/2023,2542789,09:52,01 05 07 08 13 19 28 30 32 35 39 40 53 54 56 60 61 70 79 80,01
01/22/2023,2542790,09:56,02 03 09 13 15 21 26 27 30 34 35 36 41 44 58 68 71 73 77 79,03
01/22/2023,2542791,10:00,13 18 22 27 29 30 32 33 39 41 42 49 53 54 55 56 63 67 70 73,02
01/22/2023,2542792,10:04,05 19 20 29 32 35 36 38 41 42 44 45 52 60 63 64 71 75 76 78,01
01/22/2023,2542793,10:08,04 07 09 16 18 21 25 32 38 42 47 48 51 55 56 59 70 72 75 79,01
01/22/2023,2542794,10:12,04 09 13 14 25 34 35 38 41 46 47 50 52 57 60 62 71 74 78 80,01
01/22/2023,2542795,10:16,02 12 13 18 20 25 26 27 28 32 36 37 43 45 46 50 54 57 62 63,01
01/22/2023,2542796,10:20,01 05 09 13 14 15 28 30 31 33 41 43 55 57 62 64 65 69 75 77,02
01/22/2023,2542797,10:24,06 12 15 16 21 26 33 35 41 45 46 47 52 60 62 68 72 74 76 78,01
01/22/2023,2542798,10:28,04 05 12 22 26 28 32 33 34 39 43 44 46 47 55 56 61 62 66 67,01
01/22/2023,2542799,10:32,01 02 08 13 23 29 31 34 35 39 44 53 55 56 57 58 64 71 72 80,02
01/22/2023,2542800,10:36,08 10 20 23 26 30 33 34 40 47 50 55 58 59 61 68 73 75 76 79,03
01/22/2023,2542801,10:40,03 06 14 18 19 23 25 26 31 32 38 40 45 51 54 63 70 77 78 80,02
01/22/2023,2542802,10:44,03 04 08 13 20 22 23 24 25 27 30 33 42 45 54 56 60 61 69 80,02
01/22/2023,2542803,10:48,05 11 14 15 16 18 19 34 39 44 46 48 50 54 62 65 66 67 69 78,02
01/22/2023,2542804,10:52,07 09 12 13 21 25 26 27 28 29 37 39 40 50 57 60 63 64 69 80,02
01/22/2023,2542805,10:56,06 09 13 18 19 27 32 33 37 41 45 51 52 54 58 67 68 71 77 78,05
01/22/2023,2542806,11:00,08 13 15 24 30 31 33 36 38 41 43 45 55 56 60 62 76 77 78 80,03
01/22/2023,2542807,11:04,02 04 09 10 11 16 21 22 23 27 29 43 44 45 47 51 61 69 75 79,03
