GAME,DATE,TIME,DRAW NUMBER,NUMBERS,PLUS
"KENO 603","03/01/2022","01:00 PM","251304","01-06-09-10-11-13-19-20-22-25-27-28-37-38-46-48-49-50-73-78","1",
"KENO 603","03/01/2022","12:55 PM","251303","02-06-11-12-13-14-18-25-26-30-32-43-47-54-57-58-73-75-76-77","1",
"KENO 603","03/01/2022","12:50 PM","251302","05-10-11-13-17-26-35-40-42-47-49-50-52-54-55-64-66-69-74-78","4",
"KENO 603","03/01/2022","12:45 PM","251301","04-08-17-19-26-29-30-31-38-39-43-44-45-54-55-58-61-73-76-80","3",
"KENO 603","03/01/2022","12:40 PM","251300","05-07-08-11-14-15-22-23-30-37-38-45-50-53-62-64-67-75-77-79","1",
"KENO 603","03/01/2022","12:35 PM","251299","01-02-04-14-32-33-36-37-38-41-42-48-52-53-57-60-63-71-78-80","3",
"KENO 603","03/01/2022","12:30 PM","251298","05-09-12-22-23-29-31-35-41-44-48-49-58-66-67-68-70-71-72-73","1",
"KENO 603","03/01/2022","12:25 PM","251297","02-04-05-06-07-10-14-26-27-31-34-44-47-60-62-68-71-72-73-78","1",
"KENO 603","03/01/2022","12:20 PM","251296","02-05-08-13-17-25-39-44-50-52-56-57-58-63-67-68-71-75-77-79","1",
"KENO 603","03/01/2022","12:15 PM","251295","01-06-08-12-13-14-22-24-39-46-48-55-56-59-61-62-63-67-71-74","1",
"KENO 603","03/01/2022","12:10 PM","251294","07-08-10-12-13-14-15-16-17-18-23-39-42-46-50-52-53-58-59-62","1",
"KENO 603","03/01/2022","12:05 PM","251293","01-03-06-08-29-30-32-33-34-37-38-41-43-46-52-55-60-70-75-80","1",
"KENO 603","03/01/2022","12:00 PM","251292","03-04-08-10-11-14-17-23-24-25-27-34-47-49-54-57-61-63-70-74","1",
"KENO 603","03/01/2022","11:55 AM","251291","01-05-06-08-20-23-36-39-40-44-45-46-49-50-54-55-60-64-67-78","1",
"KENO 603","03/01/2022","11:50 AM","251290","02-05-07-08-11-13-14-22-23-26-29-31-34-42-60-62-63-66-69-71","1",
"KENO 603","03/01/2022","11:45 AM","251289","06-10-11-12-15-18-28-31-34-40-41-45-47-48-59-60-71-75-78-80","3",
"KENO 603","03/01/2022","11:40 AM","251288","02-04-06-16-22-25-38-45-47-48-51-54-55-57-59-60-62-63-70-75","1",
"KENO 603","03/01/2022","11:35 AM","251287","02-08-09-26-27-29-30-31-33-36-37-38-41-42-43-44-46-58-62-63","1",
"KENO 603","03/01/2022","11:30 AM","251286","04-05-07-11-12-15-16-18-19-22-25-34-47-48-50-55-62-71-77-79","3",
"KENO 603","03/01/2022","11:25 AM","251285","02-03-07-11-17-22-28-31-32-35-39-46-51-57-59-60-68-77-79-80","3",
"KENO 603","03/01/2022","11:20 AM","251284","07-11-13-14-15-20-21-24-25-26-30-39-41-56-57-59-60-61-66-71","1",
"KENO 603","03/01/2022","11:15 AM","251283","02-05-11-13-15-27-28-31-39-43-44-49-57-63-65-69-70-74-78-80","3",
"KENO 603","03/01/2022","11:10 AM","251282","08-10-11-20-23-27-30-32-33-36-38-39-43-45-46-50-55-64-71-80","5",
"KENO 603","03/01/2022","11:05 AM","251281","03-05-16-26-31-33-37-39-40-44-55-57-58-59-63-65-69-71-72-76","3",
"KENO 603","03/01/2022","01:00 AM","251280","02-10-15-21-25-26-29-32-34-36-41-43-49-59-62-63-65-72-73-75","1",
"KENO 603","03/01/2022","12:55 AM","251279","07-14-23-27-30-36-37-39-41-42-47-48-49-53-55-69-73-74-75-79","1",
"KENO 603","03/01/2022","12:50 AM","251278","04-05-10-11-14-22-24-34-36-45-47-50-54-55-56-58-66-74-77-80","1",
"KENO 603","03/01/2022","12:45 AM","251277","02-04-10-11-13-15-18-19-21-24-25-27-29-35-42-48-61-63-66-74","3",
"KENO 603","03/01/2022","12:40 AM","251276","01-08-13-17-18-22-28-30-32-37-38-42-50-51-56-63-70-77-78-79","1",
"KENO 603","03/01/2022","12:35 AM","251275","04-13-16-18-21-22-23-36-41-44-47-57-60-63-64-65-68-74-76-79","1",
"KENO 603","03/01/2022","12:30 AM","251274","01-09-11-19-25-32-35-39-40-47-48-49-53-59-60-61-72-74-76-77","1",
"KENO 603","03/01/2022","12:25 AM","251273","04-20-21-22-32-33-35-46-47-53-60-61-62-67-68-72-74-76-77-78","3",
"KENO 603","03/01/2022","12:20 AM","251272","02-18-20-23-29-35-44-45-50-51-54-58-60-70-71-72-73-76-77-79","1",
"KENO 603","03/01/2022","12:15 AM","251271","02-07-08-11-14-15-20-22-23-29-34-39-41-42-56-59-63-65-70-74","1",
"KENO 603","03/01/2022","12:10 AM","251270","02-05-11-18-19-22-27-31-34-35-44-47-58-59-61-63-64-70-71-72","3",
"KENO 603","03/01/2022","12:05 AM","251269","06-13-14-20-24-25-33-36-37-38-40-49-55-57-63-66-67-71-74-80","1",
"KENO 603","03/01/2022","12:00 AM","251268","04-12-13-14-18-21-24-27-28-30-32-33-43-45-46-50-59-74-77-78","1",
